code,continent,country,host,year,state,lat,long,species,genotype
7,South America,Brazil,wheat,2009,PR,-23.41944444,-51.42444444,Fgra,15-ADON
10,South America,Brazil,wheat,2009,PR,-23.27583333,-51.27833333,Fgra,15-ADON
16,South America,Brazil,wheat,2009,PR,-24.04555556,-52.38305556,Fgra,15-ADON
26,South America,Brazil,wheat,2009,PR,-24.95583333,-53.45527778,Fgra,15-ADON
33,South America,Brazil,wheat,2009,PR,-23.18111111,-50.64666667,Fgra,15-ADON
35,South America,Brazil,wheat,2009,PR,-24.09972222,-52.62333333,Fgra,15-ADON
36,South America,Brazil,wheat,2009,PR,-24.29277778,-53.3125,Fgra,15-ADON
39,South America,Brazil,wheat,2009,PR,-24.14194444,-52.78166667,Fgra,15-ADON
43,South America,Brazil,wheat,2009,PR,-23.25416667,-50.98,Fgra,15-ADON
47,South America,Brazil,wheat,2009,PR,-24.385,-53.3875,Fgra,15-ADON
52,South America,Brazil,wheat,2009,PR,-24.42027778,-52.84305556,Fgra,15-ADON
54,South America,Brazil,wheat,2009,PR,-24.32194444,-52.53,Fgra,15-ADON
57,South America,Brazil,wheat,2009,PR,-23.42527778,-51.93861111,Fgra,15-ADON
76,South America,Brazil,wheat,2009,PR,-26.22861111,-52.67055556,Fgra,15-ADON
81,South America,Brazil,wheat,2009,PR,-23.91277778,-52.34305556,Fgra,15-ADON
84,South America,Brazil,wheat,2009,PR,-25.095,-50.16194444,Fgra,15-ADON
90,South America,Brazil,wheat,2009,PR,-23.30972222,-51.36916667,Fgra,15-ADON
92,South America,Brazil,wheat,2009,PR,-23.03694444,-50.83833333,Fgra,15-ADON
93,South America,Brazil,wheat,2009,PR,-23.05861111,-51.03638889,Fgra,15-ADON
94,South America,Brazil,wheat,2009,PR,-24.58777778,-53.595,Fgra,15-ADON
96,South America,Brazil,wheat,2009,PR,-24.42,-53.52138889,Fmer,NIV
98,South America,Brazil,wheat,2009,PR,-22.99666667,-51.19055556,Fmer,NIV
99,South America,Brazil,wheat,2009,PR,-24.79888889,-53.30666667,Fmer,NIV
118,South America,Brazil,wheat,2009,PR,-24.71361111,-53.74305556,Fmer,NIV
126,South America,Brazil,wheat,2009,RS,-28.39,-54.6,Fcor,NIV
127,South America,Brazil,wheat,2009,RS,-28.67142,-51.13514,Fcor,NIV
128,South America,Brazil,wheat,2009,RS,-28.30103,-51.46317,Fcor,NIV
129,South America,Brazil,wheat,2009,RS,-28.53,-52.763,Fgra,15-ADON
132,South America,Brazil,wheat,2009,RS,-28.609,-52.75,Fgra,15-ADON
136,South America,Brazil,wheat,2009,RS,-28.147,-52.301,Fgra,15-ADON
139,South America,Brazil,wheat,2009,RS,-28.248,-51.822,Fgra,15-ADON
142,South America,Brazil,wheat,2009,RS,-28.26,-51.701,Fgra,15-ADON
146,South America,Brazil,wheat,2009,RS,-27.764,-53.32,Fgra,15-ADON
148,South America,Brazil,wheat,2009,RS,-27.642,-53.327,Fgra,15-ADON
152,South America,Brazil,wheat,2009,RS,-27.722,-53.239,Fgra,15-ADON
154,South America,Brazil,wheat,2009,RS,-28.218,-51.579,Fgra,15-ADON
157,South America,Brazil,wheat,2009,RS,-28.218,-51.509,Fgra,15-ADON
160,South America,Brazil,wheat,2009,RS,-28.276,-51.467,Fgra,15-ADON
161,South America,Brazil,wheat,2009,RS,-28.267,-52.206,Fgra,15-ADON
164,South America,Brazil,wheat,2009,RS,-28.306,-52.135,Fgra,15-ADON
167,South America,Brazil,wheat,2009,RS,-28.446,-53.531,Fgra,15-ADON
